1	0	0
30	0	0
34	0	0
102	0	0
2	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	30	0
8	31	0
8	32	0
9	1	0
23	2	0
23	3	0
23	4	0
23	5	0
23	30	0
23	31	0
23	32	0
24	1	0
31	1	0
35	1	0
39	14	0
43	30	0
67	22	0
77	14	0
79	22	0
93	2	0
93	3	0
93	4	0
93	5	0
93	30	0
93	31	0
93	32	0
94	1	0
103	1	0
108	2	0
108	3	0
108	4	0
108	5	0
108	30	0
108	31	0
108	32	0
109	1	0
118	10	0
118	17	0
118	29	0
120	26	0
8	1	2	
8	1	3	
8	1	4	
8	1	5	
8	1	6	
8	29	2	
8	29	3	
8	29	4	
8	29	5	
8	29	6	
23	1	2	
23	1	3	
23	1	4	
23	1	5	
23	1	6	
23	29	2	
23	29	3	
23	29	4	
23	29	5	
23	29	6	
39	13	2	
39	13	3	
39	13	4	
39	13	5	
39	13	6	
43	7	1	
43	7	3	
43	12	1	
43	12	2	
43	14	1	
43	24	1	
43	29	2	
43	29	3	
43	29	4	
43	29	5	
43	29	6	
47	28	4	
47	28	5	
62	14	4	
62	22	6	
62	23	1	
63	20	1	
65	17	4	
67	21	2	
67	21	3	
67	21	4	
67	21	5	
67	21	6	
75	1	4	
75	2	1	
75	10	4	
77	7	5	
77	11	1	
77	13	2	
77	13	3	
77	13	4	
77	13	5	
77	13	6	
77	16	3	
77	30	4	
77	30	5	
77	30	6	
77	31	1	
77	31	2	
77	31	3	
77	31	4	
77	31	5	
78	30	4	
78	30	5	
78	30	6	
78	31	1	
78	31	2	
78	31	3	
78	31	4	
78	31	5	
79	21	2	
79	21	3	
79	21	4	
79	21	5	
79	21	6	
93	1	2	
93	1	3	
93	1	4	
93	1	5	
93	1	6	
93	29	2	
93	29	3	
93	29	4	
93	29	5	
93	29	6	
108	1	2	
108	1	3	
108	1	4	
108	1	5	
108	1	6	
108	29	2	
108	29	3	
108	29	4	
108	29	5	
108	29	6	
116	13	4	
117	14	4	
117	14	5	
117	14	6	
117	15	1	
117	15	2	
117	15	3	
117	15	4	
117	15	5	
118	9	2	
118	9	3	
118	9	4	
118	9	5	
118	9	6	
118	15	1	
118	15	6	
118	16	1	
118	16	2	
118	16	3	
118	16	4	
118	16	5	
118	16	6	
118	22	5	
118	27	6	
118	28	1	
118	28	2	
118	28	3	
118	28	4	
118	28	5	
118	28	6	
120	25	2	
120	25	3	
120	25	4	
120	25	5	
120	25	6	
